name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,total_pieces,target_age,difficulty_level,link_rakuten
ポケットモンスター ルカリオ,NBPM_068,2020-09-12,105×180×13,56×73×64,160,NA,160,12,3,https://item.rakuten.co.jp/diablock/4972825219188/
ポケットモンスター ポニータ(ガラルのすがた),NBPM_067,2020-09-12,105×180×30,36×65×72,200,NA,200,12,3,https://item.rakuten.co.jp/diablock/4972825219171/
キャラナノ 怪盗キッド,CN_29,2020-09-12,105×140×70,56×89×64,280,NA,280,12,3,https://item.rakuten.co.jp/diablock/4972825219164/
ミニナノ ポケットモンスター ほのおタイプ,NBMC_11,2020-09-12,105×180×13,16×33×40,47,NA,47,12,NA,https://item.rakuten.co.jp/diablock/4972825219096/
ミニナノ ゴジラ,NBMC_12,2020-09-01,105×180×13,30×51×53,71,NA,71,12,NA,https://item.rakuten.co.jp/diablock/4972825219072/
ミニナノ ちびまる子ちゃん,NBMC_10,2020-08-01,105×180×13,28×45×20,80,NA,80,12,NA,https://item.rakuten.co.jp/diablock/4972825218532/
ミニナノ 僕のヒーローアカデミア,NBMC_09,2020-08-01,105×180×13,32×38×24,60,NA,60,12,NA,https://item.rakuten.co.jp/diablock/4972825218556/
スピノサウルス,NBC_322,2020-08-01,105×180×13,28×53×152,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825218587/
トリケラトプス,NBC_321,2020-08-01,105×180×13,32×42×104,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825218570/
ティラノサウルス,NBC_320,2020-08-01,105×180×13,44×71×140,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825218563/
熊本城,NBH_202,2020-08-01,140×140×45,81×86×80,500,NA,500,12,3,https://item.rakuten.co.jp/diablock/4972825218600/
ポケットモンスター カモネギ(ガラルのすがた),NBPM_066,2020-08-01,105×180×30,44×59×80,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825218624/
ポケットモンスター ヤドン,NBPM_065,2020-08-01,105×180×30,40×26×96,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825218631/
明智光秀どーもくん,CN_26,2020-08-01,105×140×70,56×85×55,320,NA,320,12,3,https://item.rakuten.co.jp/diablock/4972825218709/
ミニナノ ピーナッツ,NBMC_07,2020-07-18,105×180×13,20×42×28,57,6,342,12,NA,https://item.rakuten.co.jp/diablock/4972825216484/
ミニナノ ポケットモンスター でんきタイプ,NBMC_08,2020-06-01,105×180×13,28×36×32,54,NA,54,12,NA,https://item.rakuten.co.jp/diablock/4972825218211/
大阪城 デラックスエディション,NB_049,2020-06-01,420×210×70,200×190×160,2430,NA,2430,12,5,https://item.rakuten.co.jp/diablock/4972825217023/
キャラナノ ウルトラマンベリアル,CN_28,2020-06-01,105×140×70,44×88×54,280,NA,280,12,3,https://item.rakuten.co.jp/diablock/4972825217054/
キャラナノ ウルトラセブン,CN_27,2020-06-01,105×140×70,44×88×54,240,NA,240,12,3,https://item.rakuten.co.jp/diablock/4972825217047/
ミニナノ クレヨンしんちゃん,NBMC_06,2020-04-01,105×180×13,41×32×24,70,NA,70,12,NA,https://item.rakuten.co.jp/diablock/4972825216828/
プレーリードッグ,NBC_309,2020-04-01,105×180×13,22×50×40,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825216712/
サイ,NBC_308,2020-04-01,105×180×13,33×42×92,190,NA,190,12,3,https://item.rakuten.co.jp/diablock/4972825216699/
チーター,NBC_307,2020-04-01,105×180×13,28×50×80,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825216682/
ピサの斜塔,NBH_199,2020-04-01,140×210×45,85×168×80,990,NA,990,12,3,https://item.rakuten.co.jp/diablock/4972825216743/
ポケットモンスター レックウザ,NBPM_064,2020-04-01,105×180×35,72×80×84,240,NA,240,12,3,https://item.rakuten.co.jp/diablock/4972825216774/
ポケットモンスター カイオーガ,NBPM_063,2020-04-01,105×180×35,104×41×92,260,NA,260,12,3,https://item.rakuten.co.jp/diablock/4972825216781/
ポケットモンスター グラードン,NBPM_062,2020-04-01,105×180×35,48×56×104,290,NA,290,12,3,https://item.rakuten.co.jp/diablock/4972825216798/
キャラナノ コリラックマ,CN_24,2020-04-01,105×140×70,52×74×40,260,NA,260,12,2,https://item.rakuten.co.jp/diablock/4972825216880/
