name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level,link_rakuten
キャラナノ マジンガーZ,CN-36,2021/7/3,105×140×70 (mm),64×90×45 (mm),370,NA,12,3,https://item.rakuten.co.jp/diablock/4972825221211/
ミニナノ 僕のヒーローアカデミア vol.2,NBMC_23,2021/7/3,105×180×13 (mm),"30×35×25 (mm)
 （参考：緑谷 出久）",60 （参考：緑谷 出久）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825221907/
ミニナノ ウルトラマン vol.2,NBMC_22,2021/7/3,105×180×13 (mm),"25×48×42 (mm)

 (参考：ウルトラマン）",70 (参考：ウルトラマン）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825221914/
トランペット,NBC_338,2021/4/17,105×180×13 (mm),24×39×78 (mm),110,NA,12,2,https://item.rakuten.co.jp/diablock/4972825220399/
ヴァイオリン,NBC_337,2021/4/17,105×180×13 (mm),40×101×16 (mm),190,NA,12,1,https://item.rakuten.co.jp/diablock/4972825220382/
グランドピアノ,NBC_336,2021/4/17,105×180×13 (mm),42×43 52 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825220375/
ストーリーズコレクション ウェディング,NBH_212,2021/4/17,140×140×45 (mm),80×140×80 (mm),300,NA,12,2,https://item.rakuten.co.jp/diablock/4972825220450/
サグラダファミリア,NBH_211,2021/4/17,140×140×45 (mm),80×96×80 (mm),740,NA,12,3,https://item.rakuten.co.jp/diablock/4972825220443/
ポケットモンスター ダクマ,NBPM_076,2021/4/17,105×180×20 (mm),34×58×64 (mm),160,NA,12,2,https://item.rakuten.co.jp/diablock/4972825220467/
ポケットモンスター ガブリアス,NBPM_075,2021/4/17,105×180×13 (mm),52×62×60 (mm),210,NA,12,2,https://item.rakuten.co.jp/diablock/4972825220474/
ミニナノ ポケットモンスター くさタイプ,NBMC_21,2021/4/17,105×180×13 (mm),"34×58×64 (mm)
 （参考：フシギダネ）",65 （参考：フシギダネ）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825220320/
