name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
Mininano Pokémon Type: Fire,NBMC-11,2020-09-12,105×180×13,16×33×40,47,NA,12,NA
ジャイアントパンダ,NBC-328,2020-09-12,105×180×13,48×56×52,220,NA,12,2
キリン,NBC-327,2020-09-12,105×180×13,24×116×100,220,NA,12,2
ライオン,NBC-326,2020-09-12,105×180×13,32×53×92,200,NA,12,2
mininano GODZILLA,NBMC-12,2020-09-01,105×180×13,30×51×53,71,NA,12,NA
ポケットモンスター カモネギ(ガラルのすがた),NBPM-066,2020-08-01,105×180×30,44×59×80,190,NA,12,2
ポケットモンスター ヤドン,NBPM-065,2020-08-01,105×180×30,40×26×96,140,NA,12,2
明智光秀どーもくん,CN-26,2020-08-01,105×140×70,56×85×55,320,NA,12,3
Mininano CHIBI MARUKO CHAN,NBMC-10,2020-08-01,105×180×13,28×45×20,80,NA,12,NA
Mininano MY HERO ACADEMIA,NBMC-09,2020-08-01,105×180×13,32×38×24,60,NA,12,NA
SPINOSAURUS,NBC-322,2020-08-01,105×180×13,28×53×152,180,NA,12,2
TRICERATOPS,NBC-321,2020-08-01,105×180×13,32×42×104,160,NA,12,2
TYRANNOSAURUS,NBC-320,2020-08-01,105×180×13,44×71×140,170,NA,12,2
熊本城,NBH-202,2020-08-01,140×140×45,81×86×80,500,NA,12,3
Mininano Peanuts,NBMC-07,2020-07-18,105×180×13,20×42×28,57,6,12,NA
大阪城 デラックスエディション,NB-049,2020-06-01,420×210×70,200×190×160,2430,NA,12,5
キャラナノ ウルトラマンベリアル,CN-28,2020-06-01,105×140×70,44×88×54,280,NA,12,3
キャラナノ ウルトラセブン,CN-27,2020-06-01,105×140×70,44×88×54,240,NA,12,3
Mininano Pokémon Type : Electric,NBMC-08,2020-06-01,105×180×13,28×36×32,54,NA,12,NA
ポケットモンスター レックウザ,NBPM-064,2020-04-01,105×180×35,72×80×84,240,NA,12,3
ポケットモンスター カイオーガ,NBPM-063,2020-04-01,105×180×35,104×41×92,260,NA,12,3
ポケットモンスター グラードン,NBPM-062,2020-04-01,105×180×35,48×56×104,290,NA,12,3
キャラナノ コリラックマ,CN-24,2020-04-01,105×140×70,52×74×40,260,NA,12,2
キャラナノ リラックマ,CN-23,2020-04-01,105×140×70,52×77×40,270,NA,12,2
キャラナノ エヴァンゲリオン 2号機,CN-22,2020-04-01,105×140×70,70×108×48,300,NA,12,3
Mininano Crayon Shinchan,NBMC-06,2020-04-01,105×180×13,41×32×24,70,NA,12,NA
プレーリードッグ,NBC-309,2020-04-01,105×180×13,22×50×40,160,NA,12,2
サイ,NBC-308,2020-04-01,105×180×13,33×42×92,190,NA,12,3
チーター,NBC-307,2020-04-01,105×180×13,28×50×80,200,NA,12,2
ピサの斜塔,NBH-199,2020-04-01,140×210×45,85×168×80,990,NA,12,3
Single-use type mini-size nanoblock® glue (2 bottles),NB-044,2020-01-25,70×180×15,80×15×24,NA,NA,12,NA
KOINOBORI,NBH-209,2020-01-23,140×140×45,80×140×40,390,NA,12,3
HINA-DOLLS,NBH-208,2020-01-23,140×140×45,80×65×80,440,NA,12,2
姫路城,NBH-197,2020-01-18,140×140×45,80×92×80,490,NA,12,3
キャラナノ 赤井 秀一,CN-20,2020-01-18,105×140×70,56×85×75,240,NA,12,2
キャラナノ 江戸川 コナン,CN-19,2020-01-18,105×140×70,56×63×56,240,NA,12,3
mininano Detective Conan,NBMC-03,2020-01-18,105×180×13,36×38×28,80,6,12,NA
ノイシュバンシュタイン城,NBH-198,2020-01-18,140×140×45,80×92×80,500,NA,12,3
